feature,score,min,max,n_null,n_gt1w
x473,219,-1,617,20,0,numeric
x716,218,-1,129551,19,150,numeric
x391,218,-1.0,4130.0,19,0,numeric
x593,218,-1,24,44,0,numeric
x802,217,-1,4704,19,0,numeric
x64,216,-1.0,100.0,130,0,numeric
x127,216,-1.0,50.0,131,0,numeric
x713,215,-1,107453,19,6,numeric
x605,215,-1,431,19,0,numeric
x575,214,-1,11972,19,2,numeric
x436,214,-1,2863,52,0,numeric
x387,214,-1,96,19,0,numeric
x5,214,-1.0,20.09,19,0,numeric
x850,213,-1,11341,19,2,numeric
x285,213,-1,497,19,0,numeric
x1104,213,-1,322,4951,0,numeric
x1003,213,-1,222,19,0,numeric
x868,212,-1,36415,19,2,numeric
x849,211,-1,76376,19,31,numeric
x530,210,-1,30046,19,19,numeric
x761,210,-1,13894,19,1,numeric
x256,210,-1,375,19,0,numeric
x429,209,-1,1481,52,0,numeric
x621,209,-1,1321,19,0,numeric
x973,208,-1,22785057,13588,1344,numeric
x993,208,-1,357,19,0,numeric
x253,207,-1,15475,19,1,numeric
x517,207,-1,3523,19,0,numeric
x555,207,-1,1361,19,0,numeric
x988,207,-1,545,19,0,numeric
x12,207,-1.0,18.6,19,0,numeric
x651,206,-1,549,19,0,numeric
x648,206,-1,398,6585,0,numeric
x684,206,-1,122,19,0,numeric
x61,206,-1.0,34.15,83,0,numeric
x736,205,-1,121,19,0,numeric
x866,204,-1,124,19,0,numeric
x49,204,-1.0,28.57,92,0,numeric
x32,203,-1.0,100.0,130,0,numeric
x857,202,-1,167,19,0,numeric
x56,202,-1.0,19.35,131,0,numeric
x351,201,0.04,19558.0,0,10,numeric
x974,201,-1,22785057,13588,862,numeric
x847,201,-1,628,19,0,numeric
x629,200,-1,175117,19,180,numeric
x990,200,-1,292,19,0,numeric
x1009,200,-1,54,19,0,numeric
x1074,199,-1,12359,4951,1,numeric
x1064,199,-1,362,4951,0,numeric
x560,198,-1,14517,19,3,numeric
x581,198,-1,11610,19,1,numeric
x997,198,-1,461,19,0,numeric
x371,198,-1,250,19,0,numeric
x796,197,-1,25078,19,4,numeric
x843,197,-1,12007,19,2,numeric
x379,197,-1,940,19,0,numeric
x33,197,-1.0,100.0,130,0,numeric
x1105,196,-1,446,4951,0,numeric
x372,196,-1,255,19,0,numeric
x573,195,-1,134047,19,1,numeric
x48,195,-1.0,72.45,92,0,numeric
x633,194,-1,71336,19,415,numeric
x699,194,-1,7309,19,0,numeric
x781,192,-1,10295,19,1,numeric
x803,192,-1,249,19,0,numeric
x381,191,-1,14637,19,9,numeric
x804,190,-1,49129,19,13,numeric
x1011,190,-1,89,19,0,numeric
x937,190,-1,67,4951,0,numeric
x763,189,-1,74565,19,192,numeric
x553,189,-1,582,6510,0,numeric
x683,188,-1,20357,19,4,numeric
x1135,187,1,36,0,0,category
x174,187,-1.0,18.45,19,0,numeric
x470,186,0,398,0,0,numeric
x836,186,-1,677179,19,54,numeric
x326,186,-1,23,19,0,numeric
x777,185,-1,150,19,0,numeric
x225,183,-1.0,15.79,19,0,numeric
x955,182,-1,65,4421,0,numeric
x1015,181,-1,825,19,0,numeric
x330,181,-1.0,133.398,4280,0,numeric
x835,180,-1,9415,19,0,numeric
x1072,180,-1,9409,4951,0,numeric
x657,180,-1,368,19,0,numeric
x271,179,-1,37681,19,43,numeric
x862,179,-1,146,19,0,numeric
x408,178,-1,678,19,0,numeric
x1060,178,-1,355,4951,0,numeric
x386,177,-1,144,19,0,numeric
x394,177,-1,72,19,0,numeric
x624,176,-1,18540,19,1,numeric
x493,176,-1,346,83,0,numeric
x267,175,-1,125,19,0,numeric
x415,174,1,4,0,0,category
x221,174,-1.0,10.25,19,0,numeric
x982,173,-1,172,19,0,numeric
x709,173,-1,77,19,0,numeric
x1131,172,1,35,0,0,category
x562,171,-1,16085,19,2,numeric
x369,170,-1,7672,19,0,numeric
x460,169,0,215,0,0,numeric
x480,169,-1,562,21,0,numeric
x749,168,-1,15950,19,1,numeric
x411,167,1,7,0,0,category
x809,167,-1,2309,19,0,numeric
x244,167,-1,194,19,0,numeric
x579,166,-1,465,19,0,numeric
x679,166,-1,81,19,0,numeric
x826,165,-1,8361,19,0,numeric
x405,165,-1,658,19,0,numeric
x924,165,-1,51,4951,0,numeric
x1090,164,-1,2303,4951,0,numeric
x23,164,-1.0,44.79,131,0,numeric
x613,163,-1,83075,19,107,numeric
x1068,163,-1,1519,4951,0,numeric
x1120,162,1,8,0,0,category
x1087,162,-1,9995,4951,0,numeric
x732,162,-1,147,19,0,numeric
x610,161,-1,5959,19,0,numeric
x828,160,-1,121,19,0,numeric
x1053,160,-1,103,4951,0,numeric
x529,159,-1,33028,19,13,numeric
x676,159,-1,11071,19,1,numeric
x255,159,-1,1750,19,0,numeric
x1118,158,1,34,0,0,category
x653,158,-1,20516,19,12,numeric
x602,158,-1,1050,19,0,numeric
x948,158,-1.0,843.0,286,0,numeric
x827,158,-1,154,19,0,numeric
x525,157,-1,29963,19,7,numeric
x790,157,-1,125,19,0,numeric
x69,156,-1.0,66.67,130,0,numeric
x1020,154,-1,239,19,0,numeric
x874,154,-1,153,19,0,numeric
x528,153,-1,29522,19,9,numeric
x626,152,-1,1859,19,0,numeric
x650,152,-1,416,10943,0,numeric
x513,151,-1,146502,19,7,numeric
x45,151,-1.0,33.5,19,0,numeric
x201,151,-1.0,14.92,19,0,numeric
x170,150,-1.0,19.9,19,0,numeric
x522,149,-1,38435,19,7,numeric
x945,149,-1.0,5173.04,285,0,numeric
x1017,149,-1,31,19,0,numeric
x322,148,-1,63,19,0,numeric
x459,147,0,925,0,0,numeric
x1048,146,-1,175,19,0,numeric
x687,145,-1,19156,19,29,numeric
x345,145,-1.0,1748.13,19,0,numeric
x625,145,-1,66,19,0,numeric
x887,145,-1,54,4951,0,numeric
x594,143,-1,4373,19,0,numeric
x328,143,-1,21,92,0,numeric
x1125,142,1,8,0,0,category
x574,142,-1,150503,19,2,numeric
x390,142,-1,34,19,0,numeric
x674,141,-1,5210,19,0,numeric
x987,141,-1,156,19,0,numeric
x863,141,-1,116,19,0,numeric
x991,141,-1,83,19,0,numeric
x108,141,-1.0,19.55,19,0,numeric
x202,141,-1.0,10.8,19,0,numeric
x1021,140,-1,101,19,0,numeric
x904,140,-1,8,4951,0,numeric
x703,139,-1,2692,19,0,numeric
